time,VI,mean,maximum,minimum,standardDeviation
20230831-10-,ExR,0.013101665235119353, 0.7733333706855774, -0.8454545736312866, 0.1074530181762607
20230831-10-,ExG,0.18043550118172497, 1.727272868156433, -0.8000000715255737, 0.15227635325292518
20230831-10-,ExB,0.049071420986887604, 0.7666666507720947, -0.8454545736312866, 0.08888520793294664
20230831-10-,ExGR,0.16733380020871277, 2.5727274417877197, -1.5733333826065063, 0.25343787259485473
20230831-10-,RGRI,0.7578543138675539, 9.0, 0.029411764815449715, 0.17871785381747612
20230831-10-,GBRI,0.8192144409905372, 5.0, 0.03846153989434242, 0.14703957743931492
20230831-10-,NGRDI,0.15063213644748047, 0.9428571462631226, -0.800000011920929, 0.12874521441826103
20230831-10-,NGBDI,0.10749658946816751, 0.9259259104728699, -0.6666666865348816, 0.10196772710098075
20230831-10-,IKAW,-0.0449577457868896, 0.9166666865348816, -0.9090909361839294, 0.12250071644987291
20230831-10-,VARI,0.10306409247305881, 0.8636363744735718, -0.5333333611488342, 0.09004322243745115
20230831-10-,GLI,0.1259178906439477, 0.9047619700431824, -0.75, 0.09820842612489777
20230831-10-,MGRVI,0.27842256911859004, 0.9982713460922241, -0.9756097197532654, 0.21248739789433238
20230831-10-,RGBVI,0.24623718939257228, 0.9950124025344849, -0.9565216898918152, 0.17522356624251037
