time,VI,mean,maximum,minimum,standardDeviation
20230901-10-,ExR,0.042437274022558015, 0.5103448629379272, -0.6384615302085876, 0.07639198902414893
20230901-10-,ExG,0.1379823653887727, 1.1176471710205078, -0.2900763154029846, 0.10144103483890603
20230901-10-,ExB,0.06784936586240815, 0.49007630348205566, -0.586363673210144, 0.061316120303230005
20230901-10-,ExGR,0.0955450542342554, 1.7153847217559814, -0.579310417175293, 0.17210510897556203
20230901-10-,RGRI,0.8046850902473893, 1.8888890743255615, 0.04999999701976776, 0.13704961662518803
20230901-10-,GBRI,0.8500286556765145, 2.1935484409332275, 0.0476190485060215, 0.11159274994568137
20230901-10-,NGRDI,0.11528589452394618, 0.9047618508338928, -0.30769234895706177, 0.09380702660567757
20230901-10-,NGBDI,0.08542600501896323, 0.9090908765792847, -0.3737373650074005, 0.07291452537577835
20230901-10-,IKAW,-0.030556477341165313, 0.8666666150093079, -0.8571428656578064, 0.09498752294545026
20230901-10-,VARI,0.07806693017950353, 0.6538461446762085, -0.27586209774017334, 0.06315632574697995
20230901-10-,GLI,0.09836532329200387, 0.6551724672317505, -0.23456786572933197, 0.06821948638283207
20230901-10-,MGRVI,0.22009905276690886, 0.9950125217437744, -0.5621622204780579, 0.16437249545405472
20230901-10-,RGBVI,0.19580016533637254, 0.9577039480209351, -0.3873126804828644, 0.12990643008327857
