time,VI,mean,maximum,minimum,standardDeviation
20230826-10-,ExR,0.033719876380030316, 0.8833332657814026, -0.8692307472229004, 0.12048476763715094
20230826-10-,ExG,0.1873031483928652, 1.7692307233810425, -0.7000000476837158, 0.17540603344978464
20230826-10-,ExB,0.02066987640992894, 0.625, -0.8692307472229004, 0.10399081187242866
20230826-10-,ExGR,0.1535832339546243, 2.6384615898132324, -1.383333444595337, 0.2888258012189742
20230826-10-,RGRI,0.7992566820149808, 5.0, 0.02083333395421505, 0.1917211284791988
20230826-10-,GBRI,0.7707170611439996, 4.0, 0.02857142873108387, 0.1575826939852095
20230826-10-,NGRDI,0.12602997636537386, 0.9591836333274841, -0.6666666269302368, 0.1381789204493547
20230826-10-,NGBDI,0.14003746932323477, 0.944444477558136, -0.6000000238418579, 0.1201993983834173
20230826-10-,IKAW,0.013131336408957906, 0.9512194991111755, -0.9428572058677673, 0.13770850225012043
20230826-10-,VARI,0.08899086017021329, 0.8846153616905212, -0.5833333134651184, 0.1013893735779031
20230826-10-,GLI,0.1296029035489307, 0.9199999570846558, -0.6363636255264282, 0.10993802259904299
20230826-10-,MGRVI,0.2302343055383116, 0.9991322755813599, -0.9230769276618958, 0.224319392843237
20230826-10-,RGBVI,0.25074468063781435, 0.9965338706970215, -0.9047618508338928, 0.18713917923158746
