time,VI,mean,maximum,minimum,standardDeviation
20230901-10-,ExR,0.08414303420596743, 0.7629629373550415, -0.7904762029647827, 0.09151643330570637
20230901-10-,ExG,0.13790537140916717, 1.60869562625885, -0.3877550959587097, 0.13687518410139934
20230901-10-,ExB,0.02623086583767581, 0.281632661819458, -0.8086956143379211, 0.09371862544453043
20230901-10-,ExGR,0.053762294928704345, 2.3619046211242676, -1.0962963104248047, 0.2190500740770286
20230901-10-,RGRI,0.8882490150806466, 3.1666667461395264, 0.04545454680919647, 0.1615081962800956
20230901-10-,GBRI,0.7783749030673613, 1.7000000476837158, 0.04545454680919647, 0.1544488470489106
20230901-10-,NGRDI,0.06768807986549472, 0.9130434393882751, -0.5200000405311584, 0.10189205771171701
20230901-10-,NGBDI,0.1347500871164627, 0.9130434393882751, -0.25925925374031067, 0.11810366087196916
20230901-10-,IKAW,0.06732164936751599, 0.939393937587738, -0.800000011920929, 0.12577631287966887
20230901-10-,VARI,0.04826976823742768, 0.8095238208770752, -0.48148149251937866, 0.07656985949367244
20230901-10-,GLI,0.09706181037779953, 0.8604651689529419, -0.3220338821411133, 0.08851934374864993
20230901-10-,MGRVI,0.12788364152675416, 0.9958763122558594, -0.8186397552490234, 0.17816850994565658
20230901-10-,RGBVI,0.1949946176516343, 0.9900497198104858, -0.5780590772628784, 0.16089363725072853
