time,VI,mean,maximum,minimum,standardDeviation
20230826-10-,ExR,-0.004697037350971498, 0.8153846263885498, -0.8454545736312866, 0.12149056009255209
20230826-10-,ExG,0.1690854120524596, 1.727272868156433, -0.875, 0.15169190861296236
20230826-10-,ExB,0.07973355820337967, 0.7250000238418579, -0.8482758402824402, 0.08923619089741912
20230826-10-,ExGR,0.17378241537695774, 2.5727274417877197, -1.533333420753479, 0.2642841591667492
20230826-10-,RGRI,0.7270928587737566, 12.0, 0.025641025975346565, 0.20270589943785616
20230826-10-,GBRI,0.8747032727965315, 11.0, 0.03333333507180214, 0.14860939179380026
20230826-10-,NGRDI,0.1758001615138812, 0.9499999284744263, -0.8461538553237915, 0.15395479449201183
20230826-10-,NGBDI,0.07453188547893656, 0.9354839324951172, -0.8333333730697632, 0.09899242018714104
20230826-10-,IKAW,-0.10364327999808881, 0.9199999570846558, -0.953488290309906, 0.1609766308312949
20230826-10-,VARI,0.1146964908511826, 0.8636363744735718, -0.5384615659713745, 0.09960584017096656
20230826-10-,GLI,0.11812399152872118, 0.9047619700431824, -0.8399999141693115, 0.09775484493561497
20230826-10-,MGRVI,0.31578560315456894, 0.9986858367919922, -0.9862069487571716, 0.24189144897454729
20230826-10-,RGBVI,0.24032582354551793, 0.9950124025344849, -0.9849624633789062, 0.18272099908828157
