time,VI,mean,maximum,minimum,standardDeviation
20230831-10-,ExR,0.04813530268625852, 1.1466666460037231, -0.9081080555915833, 0.12467754471002258
20230831-10-,ExG,0.2038006690513997, 1.837837815284729, -0.800000011920929, 0.19653682020179197
20230831-10-,ExB,-0.012442739786361495, 0.7571428418159485, -0.9081080555915833, 0.12495441441941933
20230831-10-,ExGR,0.15566532629449067, 2.745945692062378, -1.9466668367385864, 0.31286927471409914
20230831-10-,RGRI,0.8273178790740583, 12.999999046325684, 0.021739130839705467, 0.19880565504800174
20230831-10-,GBRI,0.7172308254120183, 5.0, 0.016129031777381897, 0.18516752433346734
20230831-10-,NGRDI,0.10901263262540035, 0.957446813583374, -0.8571428656578064, 0.13669414818686126
20230831-10-,NGBDI,0.18048561158031795, 0.9682539105415344, -0.6666666865348816, 0.14899406070826693
20230831-10-,IKAW,0.07342730251048343, 0.9555555582046509, -0.9487179517745972, 0.14887889886274372
20230831-10-,VARI,0.08026531923043849, 0.9189189672470093, -0.800000011920929, 0.10609002601406597
20230831-10-,GLI,0.13974620286965267, 0.944444477558136, -0.75, 0.12220692186621408
20230831-10-,MGRVI,0.19944312239870055, 0.9990553259849548, -0.988235354423523, 0.22612198225387886
20230831-10-,RGBVI,0.27028209426049554, 0.9983686804771423, -0.8571428060531616, 0.20537765053530493
